Fri Dec  9 21:10:11 2022    output.dat

         127371434 function calls (122847050 primitive calls) in 16267.607 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.000    0.000    0.000    0.000 {method 'GetAddressAsString' of 'vtkmodules.vtkCommonCore.vtkObjectBase' objects}
       16    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\torch\storage.py:299(__new__)
       16    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\torch\storage.py:366(__init__)
       16    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\torch\serialization.py:949(_maybe_decode_ascii)
       16    3.474    0.217    3.474    0.217 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:619(<listcomp>)
       16    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\vtkmodules\numpy_interface\dataset_adapter.py:125(__init__)
       16    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\renderers.py:247(__iter__)
       16    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\core\datasetattributes.py:130(__init__)
       15    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
       15    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\lights.py:578(_check_actor)
       15    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\lights.py:648(cone_angle)
       14    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       14    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       14    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
       13    1.986    0.153    1.986    0.153 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:125(<listcomp>)
       13    0.288    0.022  120.784    9.291 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:370(insert_refinement_t_2)
       13    0.047    0.004  112.740    8.672 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:389(take_care_of_passive_refinement_2_npy)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       12    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\enum.py:446(<genexpr>)
       12    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\multiarray.py:1293(shares_memory)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(shares_memory)
       12    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2398(_array_equal_dispatcher)
       12    0.000    0.000    0.001    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2402(array_equal)
       12    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:597(_transpose_dispatcher)
       12    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:601(transpose)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(transpose)
       12    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(array_equal)
       12    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\vtkmodules\numpy_interface\dataset_adapter.py:275(__array_finalize__)
       12    0.000    0.000    0.000    0.000 {method 'Modified' of 'vtkmodules.vtkCommonCore.vtkObject' objects}
       12    0.000    0.000    0.000    0.000 {function _load.<locals>.UnpicklerWrapper.find_class at 0x000001D0F3A2F490}
       12    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 {buffer_shared}
       11    0.000    0.000    0.001    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\abc.py:117(__instancecheck__)
       11    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\_collections_abc.py:78(_check_methods)
       11    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\vtkmodules\util\numpy_support.py:92(get_numpy_array_type)
       11    0.000    0.000    0.001    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\core\datasetattributes.py:490(get_array)
       11    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\core\datasetattributes.py:1133(_raise_index_out_of_bounds)
       11    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\core\pyvista_ndarray.py:40(__array_finalize__)
       11    0.000    0.000    0.000    0.000 {method 'GetArray' of 'vtkmodules.vtkCommonDataModel.vtkFieldData' objects}
       11    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       10    0.009    0.001    0.009    0.001 {built-in method torch.tensor}
       10    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\lights.py:851(light_type)
       10    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\lights.py:1198(renderers)
       10    0.000    0.000    0.000    0.000 {method 'SetLightType' of 'vtkmodules.vtkRenderingCore.vtkLight' objects}
